id,DRŽAVA,KRATICA,ime,letni_čas,št_dni,cenovni_rang,opis
1,Albanija,AL,Tirana,Poletje,4,1,"Na eni strani se bohotijo elitne znamke, medtem ko je na drugi strani takoj mogoče zaznati revščino. Razlika pa se ne kaže zgolj v avtomobilih, ampak je vidna tudi v ljudeh, njihovih hišah in oblačilih."
2,Andora,AD,Andorra la Vella,Poletje,2,1,"Staro mestno jedro je zaznamovano s kamnitimi ulicami in hišami vključno s cerkvijo sv. Štefana, zgrajeno v romanskem slogu v 11. stoletju. Verjetno najstarejša zgradba v mestu je prav tako cerkev esglèsia santa Coloma iz 9. stoletja."
3,Armenija,AM,Erevan,Jesen,3,1,"Osrednji in glavni trg mesta Erevan je trg republike, ki ga domačini poznajo kot Hraparak. Trg »krasi« vodnjak / fontana, ki pa je v našem času bila povsem prazna in bolj kot kaj drugega razpadajoča, čeprav naj bi šlo za čudovito fontano z glasbo."
4,Avstrija,AT,Dunaj,Poletje,3,2,"Dunaj je za mnoge najboljša kulturna prestolnica v bližini Slovenije. Poleg gledaliških in opernih predstav, se tukaj odvijajo tudi vrhunski koncerti različnih žanrov. A poleg sodobnega utripa je mesto zaradi mogočnih zgodovinskih zgradb očarljivo tudi z vidika arhitekture. Če vanj zavijete z otrokom, pa ne spreglejte niti zanimivih otroških kotičkov, kot je živalski vrt, naravoslovni muzej, otroški muzej, tehnični muzej, Prater. "
5,Azerbajdžan,AZ,Baku,Jesen,3,2,"Za prestolnico Baku bi lahko dejali, da ima dva obraza.Na eni strani se bohotijo visoke nove stavbe v stilu Amerike, na drugi strani pa vidimo, v kakšnih pogojih živijo ljudje na družbenem dnu."
6,Belgija,BE,Bruselj,Pomlad,4,1,"Prestolnica Belgije navdušuje s svojo arhitekturo, kot dejstvom, da so tukaj doma odlični vaflji, čokolada in nenazadnje tudi pivo. Pogled na Atomium, ki je bil zgrajen za svetovno razstavo, je futurističen, medtem ko je sprehajanje po stranskih ulicah izredno slikovito. Zaradi dobrih železniških povezav pa je v času mestnega oddiha v Bruslju odlična odločitev tudi izlet v Bruge."
7,Belorusija,BY,Minsk,Jesen,2,2,"Najstarejši podatki o beloruski prestolnici Minsku izhajajo iz leta 1067. V svoji zgodovini je bil uničen in obnovljen več kot 10 krat, najbolj je bil prizadet med drugo svetovno vojno, ko je bil Minsk praktično v celoti porušen. To je razlog, da današnji Minsk nima starega predela mesta, saj so bile praktično vse zgradbe zgrajene po letu 1945. Danes je Minsk sodobno evropsko mesto, kjer živi 1,8 milijona ljudi."
8,Bosna in Hercegovina,BA,Sarajevo,Poletje,2,1,"Dobra hrana, nizke cene ter skupna zgodovina so največji razlog za izlet v Sarajevo. A ko ga boste začeli raziskovati, vas bo na svojevrsten način očarala tudi tamkajšnja eksotičnost, ki so jo na to področje prinesli v času Otomanskega cesarstva. "
9,Bulgarija,BG,Sofija,Poletje,3,1,"Ni mesto v katerega bi se zaljubili na prvi pogled, a zagotovo priraste k srcu, ko jo bolje spoznamo in raziščemo. Očarale vas bodo kulturnozgodovinske znamenitost, katedrala Aleksandra Nevskega je ena izmed največjih arhitekturnih dosežkov Balkana, Ruska cerkev vas bo prevzela z zanimivo obliko …"
10,Česka,CZ,Praga,Pomlad,4,1,"Dobra hrana, dobro pivo, razvijajoča se ostala kulinarična ponudba, svetovno znane znamenitosti in živahno življenje"
