id_mesta,glavne_atrakcije
1,znamenitosti
1,bližina morja
2,parki
3,znamenitosti
4,znamenitosti
4,muzeji
4,živalski vrt
5,znamenitosti
6,znamenitosti
7,parki
8,znamenitosti
9,znamenitosti
10,muzeji
10,znamenitosti
10,gradovi
11,bližina morja
11,znamenitosti
12,bližina morja
12,znamenitosti
13,muzeji
13,kopališča
13,bližina morja
14,muzeji
14,znamenitosti
15,muzeji
15,jezera
15,bližina morja
16,muzeji
16,znamenitosti
17,znamenitosti
17,bližina morja
17,kopališča
18,znamenitosti
19,znamenitosti
19,muzeji
19,gradovi
20,gradovi
20,znamenitosti
20,parki
21,znamenitosti
21,jezera
21,bližina morja
22,muzeji
22,znamenitosti
22,kopališča
23,znamenitosti
24,znamenitosti
24,bližina morja
25,parki
25,znamenitosti
26,znamenitosti
27,muteji
27,parki
28,kopališča
28,parki
28,muzeji
28,znamenitosti
28,gradovi
29,znamenitosti
30,bližina morja
30,kopališča
31,znamenitosti
32,bližina morja
33,muzeji
33,parki
33,znamenitsoti
34,parki
34,muzeji
34,živaslki vrt
34,bližina morja
35,muzeji
36,parki
36,muzeji
36,znamenitsoti
37,muzeji
37,bližina morja
37,parki
38,znamenitosti
39,muzeji
39,znamenitosti
40,parki
40,znamenitosti
41,znamenitosti
42,gradovi
42,znamenitosti
43,gradovi
43,parki
43,muzeji
43,znamenitosti
44,znamenitosti
44,muzeji
44,parki
45,znamenitosti
45,muzeji
46,muzeji
46,znamenitosti
46,jezera
47,bližina morja
47,znamenitosti
48,znamenitosti
49,znamenitosti
49,muzeji
50,parki
50,muzeji
50,znamenitosti
