id,drzava,kratica,ime,letni_cas,stevilo_dni,cenovni_rang,opis,url
1,Albanija,AL,Tirana,Poletje,4,1,"Na eni strani se bohotijo elitne znamke, medtem ko je na drugi strani takoj mogoče zaznati revščino. Razlika pa se ne kaže zgolj v avtomobilih, ampak je vidna tudi v ljudeh, njihovih hišah in oblačilih.",https://static.independent.co.uk/s3fs-public/thumbnails/image/2018/12/24/16/tirana-overview.jpg?quality=75&width=982&height=726&auto=webp
2,Andora,AD,Andorra la Vella,Poletje,2,1,"Staro mestno jedro je zaznamovano s kamnitimi ulicami in hišami vključno s cerkvijo sv. Štefana, zgrajeno v romanskem slogu v 11. stoletju. Verjetno najstarejša zgradba v mestu je prav tako cerkev esglèsia santa Coloma iz 9. stoletja.",https://lahkihnog-naokrog.si/wp-content/uploads/2021/08/Andora-Lahkih-nog-naokrog-©-100.jpg
3,Armenija,AM,Erevan,Jesen,3,1,"Osrednji in glavni trg mesta Erevan je trg republike, ki ga domačini poznajo kot Hraparak. Trg »krasi« vodnjak / fontana, ki pa je v našem času bila povsem prazna in bolj kot kaj drugega razpadajoča, čeprav naj bi šlo za čudovito fontano z glasbo.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Mount_Ararat_and_the_Yerevan_skyline_in_spring_from_the_Cascade.jpg/2560px-Mount_Ararat_and_the_Yerevan_skyline_in_spring_from_the_Cascade.jpg
4,Avstrija,AT,Dunaj,Poletje,3,2,"Dunaj je za mnoge najboljša kulturna prestolnica v bližini Slovenije. Poleg gledaliških in opernih predstav, se tukaj odvijajo tudi vrhunski koncerti različnih žanrov. A poleg sodobnega utripa je mesto zaradi mogočnih zgodovinskih zgradb očarljivo tudi z vidika arhitekture. Če vanj zavijete z otrokom, pa ne spreglejte niti zanimivih otroških kotičkov, kot je živalski vrt, naravoslovni muzej, otroški muzej, tehnični muzej, Prater. ",https://www.vandraj.si/wp-content/uploads/2018/08/shutterstock_537939037.jpg
5,Azerbajdžan,AZ,Baku,Jesen,3,2,"Za prestolnico Baku bi lahko dejali, da ima dva obraza.Na eni strani se bohotijo visoke nove stavbe v stilu Amerike, na drugi strani pa vidimo, v kakšnih pogojih živijo ljudje na družbenem dnu.",https://cdn.britannica.com/21/195821-050-7860049D/Baku-blend-Azerbaijan-skyscrapers-buildings.jpg
6,Belgija,BE,Bruselj,Pomlad,4,1,"Prestolnica Belgije navdušuje s svojo arhitekturo, kot dejstvom, da so tukaj doma odlični vaflji, čokolada in nenazadnje tudi pivo. Pogled na Atomium, ki je bil zgrajen za svetovno razstavo, je futurističen, medtem ko je sprehajanje po stranskih ulicah izredno slikovito. Zaradi dobrih železniških povezav pa je v času mestnega oddiha v Bruslju odlična odločitev tudi izlet v Bruge.",https://www.vandraj.si/wp-content/uploads/2016/12/shutterstock_157163408.jpg
7,Belorusija,BY,Minsk,Jesen,2,2,"Najstarejši podatki o beloruski prestolnici Minsku izhajajo iz leta 1067. V svoji zgodovini je bil uničen in obnovljen več kot 10 krat, najbolj je bil prizadet med drugo svetovno vojno, ko je bil Minsk praktično v celoti porušen. To je razlog, da današnji Minsk nima starega predela mesta, saj so bile praktično vse zgradbe zgrajene po letu 1945. Danes je Minsk sodobno evropsko mesto, kjer živi 1,8 milijona ljudi.",https://media.istockphoto.com/id/499206036/photo/cityscape-of-minsk-belarus-summer-season-sunset-time.jpg?s=612x612&w=0&k=20&c=-Lb_1Snzj-Vg-iKlHdQ4myRSuyS7R8ow6FV3bMiSnQ0=
8,Bosna in Hercegovina,BA,Sarajevo,Poletje,2,1,"Dobra hrana, nizke cene ter skupna zgodovina so največji razlog za izlet v Sarajevo. A ko ga boste začeli raziskovati, vas bo na svojevrsten način očarala tudi tamkajšnja eksotičnost, ki so jo na to področje prinesli v času Otomanskega cesarstva. ",https://cdn.getyourguide.com/img/location/5d7f464c537b1.jpeg/75.jpg
9,Bulgarija,BG,Sofija,Poletje,3,1,"Ni mesto v katerega bi se zaljubili na prvi pogled, a zagotovo priraste k srcu, ko jo bolje spoznamo in raziščemo. Očarale vas bodo kulturnozgodovinske znamenitost, katedrala Aleksandra Nevskega je ena izmed največjih arhitekturnih dosežkov Balkana, Ruska cerkev vas bo prevzela z zanimivo obliko …",https://toposiguranje.rs/wp-content/uploads/2018/01/15-karolisjanulis-15-1200x674.jpg
10,Česka,CZ,Praga,Pomlad,4,1,"Dobra hrana, dobro pivo, razvijajoča se ostala kulinarična ponudba, svetovno znane znamenitosti in živahno življenje",https://www.posvetu.si/wp-content/uploads/2014/04/praga-slika-1024x691.jpg
11,Ciper,CY,Nikozija,Poletje,3,1,"Ciprska prestolnica Nikozije je dobesedno zgodba o dveh polovicah.Južna Nikozija (imenovana tudi Lefkosia) pripada grški republiki Ciper, medtem ko je Severna Nikozija (znana tudi pod imenom Lefkoşa) od turške okupacije leta 1974 del Turske republike Severnega Cipra (TRNC). To pomeni, da je Nikozija fantastična baza za odkrivanje zgodovinskih znamenitosti severno od mesta, vključno s pravljičnim gradom St Hilarion in obsežnimi ruševinami Ancient Salamis.",https://upload.wikimedia.org/wikipedia/commons/5/55/Nicosia_01-2017_img20_View_from_Shacolas_Tower.jpg
